"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147","3.4 Сканирование ячейки","WMS Заказы и Сборка","Sun Apr 13 16:32:24 UTC 2025","passed","Sun Apr 13 16:32:25 UTC 2025","","3. Сборка заказов","",""
"","157","Создание тестовой ячейки (если нужно)","WMS Заказы и Сборка","Sun Apr 13 16:32:23 UTC 2025","passed","Sun Apr 13 16:32:23 UTC 2025","","0. Подготовка переменных","",""
"","157","3.1 Создание задания на сборку","WMS Заказы и Сборка","Sun Apr 13 16:32:24 UTC 2025","passed","Sun Apr 13 16:32:24 UTC 2025","","3. Сборка заказов","",""
"","148","Проверка существующих ячеек","WMS Заказы и Сборка","Sun Apr 13 16:32:22 UTC 2025","passed","Sun Apr 13 16:32:23 UTC 2025","","0. Подготовка переменных","",""
"","142","4.1 Проверка задания на сборку","WMS Заказы и Сборка","Sun Apr 13 16:32:25 UTC 2025","failed","Sun Apr 13 16:32:25 UTC 2025","","4. Проверка результатов","",""
"","1084","Генерация уникальных значений","WMS Заказы и Сборка","Sun Apr 13 16:32:21 UTC 2025","passed","Sun Apr 13 16:32:22 UTC 2025","","0. Подготовка переменных","",""
"","145","3.2 Получение списка заданий на сборку","WMS Заказы и Сборка","Sun Apr 13 16:32:24 UTC 2025","passed","Sun Apr 13 16:32:24 UTC 2025","","3. Сборка заказов","",""
"","144","3.3 Начало выполнения задания","WMS Заказы и Сборка","Sun Apr 13 16:32:24 UTC 2025","failed","Sun Apr 13 16:32:24 UTC 2025","","3. Сборка заказов","",""
"","143","2.3 Получение заказа по ID","WMS Заказы и Сборка","Sun Apr 13 16:32:24 UTC 2025","passed","Sun Apr 13 16:32:24 UTC 2025","","2. Управление заказами","",""
"","156","1.3 Добавление товара 1 в инвентарь","WMS Заказы и Сборка","Sun Apr 13 16:32:23 UTC 2025","passed","Sun Apr 13 16:32:23 UTC 2025","","1. Подготовка тестовых товаров","",""
"","155","2.4 Резервирование товаров заказа","WMS Заказы и Сборка","Sun Apr 13 16:32:24 UTC 2025","passed","Sun Apr 13 16:32:24 UTC 2025","","2. Управление заказами","",""
"","157","1.4 Добавление товара 2 в инвентарь","WMS Заказы и Сборка","Sun Apr 13 16:32:23 UTC 2025","passed","Sun Apr 13 16:32:23 UTC 2025","","1. Подготовка тестовых товаров","",""
"","139","4.2 Проверка статуса заказа","WMS Заказы и Сборка","Sun Apr 13 16:32:25 UTC 2025","failed","Sun Apr 13 16:32:25 UTC 2025","","4. Проверка результатов","",""
"","155","2.2 Получение списка заказов","WMS Заказы и Сборка","Sun Apr 13 16:32:23 UTC 2025","passed","Sun Apr 13 16:32:24 UTC 2025","","2. Управление заказами","",""
"","146","1.2 Создание товара 2","WMS Заказы и Сборка","Sun Apr 13 16:32:23 UTC 2025","passed","Sun Apr 13 16:32:23 UTC 2025","","1. Подготовка тестовых товаров","",""
"","149","1.1 Создание товара 1","WMS Заказы и Сборка","Sun Apr 13 16:32:23 UTC 2025","passed","Sun Apr 13 16:32:23 UTC 2025","","1. Подготовка тестовых товаров","",""
"","145","3.6 Сканирование ячейки для второго товара","WMS Заказы и Сборка","Sun Apr 13 16:32:25 UTC 2025","passed","Sun Apr 13 16:32:25 UTC 2025","","3. Сборка заказов","",""
"","141","3.7 Сборка второго товара","WMS Заказы и Сборка","Sun Apr 13 16:32:25 UTC 2025","failed","Sun Apr 13 16:32:25 UTC 2025","","3. Сборка заказов","",""
"","139","3.5 Сборка первого товара","WMS Заказы и Сборка","Sun Apr 13 16:32:25 UTC 2025","failed","Sun Apr 13 16:32:25 UTC 2025","","3. Сборка заказов","",""
"","154","2.1 Создание заказа","WMS Заказы и Сборка","Sun Apr 13 16:32:23 UTC 2025","passed","Sun Apr 13 16:32:23 UTC 2025","","2. Управление заказами","",""
"","145","4.3 Проверка обновления инвентаря","WMS Заказы и Сборка","Sun Apr 13 16:32:25 UTC 2025","failed","Sun Apr 13 16:32:25 UTC 2025","","4. Проверка результатов","",""
