"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","1.1 Создание товара 1","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:54 MSK 2025","","1. Подготовка тестовых товаров","",""
"","54","4.2 Проверка статуса заказа","WMS Заказы и Сборка","Sun Apr 13 17:10:55 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","4. Проверка результатов","",""
"","65","3.2 Получение списка заданий на сборку","WMS Заказы и Сборка","Sun Apr 13 17:10:55 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","3. Сборка заказов","",""
"","39","1.2 Создание товара 2","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:54 MSK 2025","","1. Подготовка тестовых товаров","",""
"","33","3.7 Сборка второго товара","WMS Заказы и Сборка","Sun Apr 13 17:10:55 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","3. Сборка заказов","",""
"","43","Проверка существующих ячеек","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:54 MSK 2025","","0. Подготовка переменных","",""
"","89","Генерация уникальных значений","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:54 MSK 2025","","0. Подготовка переменных","",""
"","25","3.6 Сканирование ячейки для второго товара","WMS Заказы и Сборка","Sun Apr 13 17:10:55 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","3. Сборка заказов","",""
"","35","2.3 Получение заказа по ID","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:54 MSK 2025","","2. Управление заказами","",""
"","40","1.3 Добавление товара 1 в инвентарь","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:54 MSK 2025","","1. Подготовка тестовых товаров","",""
"","40","4.3 Проверка обновления инвентаря","WMS Заказы и Сборка","Sun Apr 13 17:10:55 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","4. Проверка результатов","",""
"","30","2.1 Создание заказа","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:54 MSK 2025","","2. Управление заказами","",""
"","35","3.1 Создание задания на сборку","WMS Заказы и Сборка","Sun Apr 13 17:10:55 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","3. Сборка заказов","",""
"","50","3.5 Сборка первого товара","WMS Заказы и Сборка","Sun Apr 13 17:10:55 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","3. Сборка заказов","",""
"","35","2.2 Получение списка заказов","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:54 MSK 2025","","2. Управление заказами","",""
"","36","3.4 Сканирование ячейки","WMS Заказы и Сборка","Sun Apr 13 17:10:55 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","3. Сборка заказов","",""
"","29","2.4 Резервирование товаров заказа","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","2. Управление заказами","",""
"","42","1.4 Добавление товара 2 в инвентарь","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:54 MSK 2025","","1. Подготовка тестовых товаров","",""
"","44","Создание тестовой ячейки (если нужно)","WMS Заказы и Сборка","Sun Apr 13 17:10:54 MSK 2025","broken","Sun Apr 13 17:10:54 MSK 2025","","0. Подготовка переменных","",""
"","29","3.3 Начало выполнения задания","WMS Заказы и Сборка","Sun Apr 13 17:10:55 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","3. Сборка заказов","",""
"","33","4.1 Проверка задания на сборку","WMS Заказы и Сборка","Sun Apr 13 17:10:55 MSK 2025","broken","Sun Apr 13 17:10:55 MSK 2025","","4. Проверка результатов","",""
