"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","172","4.3 Проверка обновления инвентаря","WMS Заказы и Сборка","Sun Apr 13 17:48:29 UTC 2025","failed","Sun Apr 13 17:48:29 UTC 2025","","4. Проверка результатов","",""
"","184","1.4 Добавление товара 2 в инвентарь","WMS Заказы и Сборка","Sun Apr 13 17:48:27 UTC 2025","passed","Sun Apr 13 17:48:27 UTC 2025","","1. Подготовка тестовых товаров","",""
"","183","1.3 Добавление товара 1 в инвентарь","WMS Заказы и Сборка","Sun Apr 13 17:48:26 UTC 2025","passed","Sun Apr 13 17:48:27 UTC 2025","","1. Подготовка тестовых товаров","",""
"","172","2.2 Получение списка заказов","WMS Заказы и Сборка","Sun Apr 13 17:48:27 UTC 2025","passed","Sun Apr 13 17:48:27 UTC 2025","","2. Управление заказами","",""
"","172","3.3 Начало выполнения задания","WMS Заказы и Сборка","Sun Apr 13 17:48:28 UTC 2025","failed","Sun Apr 13 17:48:28 UTC 2025","","3. Сборка заказов","",""
"","168","2.3 Получение заказа по ID","WMS Заказы и Сборка","Sun Apr 13 17:48:27 UTC 2025","passed","Sun Apr 13 17:48:27 UTC 2025","","2. Управление заказами","",""
"","176","3.4 Сканирование ячейки","WMS Заказы и Сборка","Sun Apr 13 17:48:28 UTC 2025","passed","Sun Apr 13 17:48:28 UTC 2025","","3. Сборка заказов","",""
"","168","3.7 Сборка второго товара","WMS Заказы и Сборка","Sun Apr 13 17:48:29 UTC 2025","failed","Sun Apr 13 17:48:29 UTC 2025","","3. Сборка заказов","",""
"","174","4.1 Проверка задания на сборку","WMS Заказы и Сборка","Sun Apr 13 17:48:29 UTC 2025","failed","Sun Apr 13 17:48:29 UTC 2025","","4. Проверка результатов","",""
"","184","Создание тестовой ячейки (если нужно)","WMS Заказы и Сборка","Sun Apr 13 17:48:26 UTC 2025","passed","Sun Apr 13 17:48:26 UTC 2025","","0. Подготовка переменных","",""
"","203","3.1 Создание задания на сборку","WMS Заказы и Сборка","Sun Apr 13 17:48:27 UTC 2025","passed","Sun Apr 13 17:48:28 UTC 2025","","3. Сборка заказов","",""
"","181","2.4 Резервирование товаров заказа","WMS Заказы и Сборка","Sun Apr 13 17:48:27 UTC 2025","passed","Sun Apr 13 17:48:27 UTC 2025","","2. Управление заказами","",""
"","1053","Генерация уникальных значений","WMS Заказы и Сборка","Sun Apr 13 17:48:25 UTC 2025","passed","Sun Apr 13 17:48:26 UTC 2025","","0. Подготовка переменных","",""
"","180","3.2 Получение списка заданий на сборку","WMS Заказы и Сборка","Sun Apr 13 17:48:28 UTC 2025","passed","Sun Apr 13 17:48:28 UTC 2025","","3. Сборка заказов","",""
"","179","3.6 Сканирование ячейки для второго товара","WMS Заказы и Сборка","Sun Apr 13 17:48:28 UTC 2025","passed","Sun Apr 13 17:48:29 UTC 2025","","3. Сборка заказов","",""
"","173","1.2 Создание товара 2","WMS Заказы и Сборка","Sun Apr 13 17:48:26 UTC 2025","passed","Sun Apr 13 17:48:26 UTC 2025","","1. Подготовка тестовых товаров","",""
"","183","2.1 Создание заказа","WMS Заказы и Сборка","Sun Apr 13 17:48:27 UTC 2025","passed","Sun Apr 13 17:48:27 UTC 2025","","2. Управление заказами","",""
"","177","1.1 Создание товара 1","WMS Заказы и Сборка","Sun Apr 13 17:48:26 UTC 2025","passed","Sun Apr 13 17:48:26 UTC 2025","","1. Подготовка тестовых товаров","",""
"","165","3.5 Сборка первого товара","WMS Заказы и Сборка","Sun Apr 13 17:48:28 UTC 2025","failed","Sun Apr 13 17:48:28 UTC 2025","","3. Сборка заказов","",""
"","167","4.2 Проверка статуса заказа","WMS Заказы и Сборка","Sun Apr 13 17:48:29 UTC 2025","failed","Sun Apr 13 17:48:29 UTC 2025","","4. Проверка результатов","",""
"","181","Проверка существующих ячеек","WMS Заказы и Сборка","Sun Apr 13 17:48:26 UTC 2025","passed","Sun Apr 13 17:48:26 UTC 2025","","0. Подготовка переменных","",""
