"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","159","2.7 Завершение накладной","WMS Тестирование","Sun Apr 13 17:48:19 UTC 2025","failed","Sun Apr 13 17:48:19 UTC 2025","","2. Приемка товаров","",""
"","159","2.3 Сканирование товара 1","WMS Тестирование","Sun Apr 13 17:48:18 UTC 2025","failed","Sun Apr 13 17:48:18 UTC 2025","","2. Приемка товаров","",""
"","160","2.5 Сканирование товара 2","WMS Тестирование","Sun Apr 13 17:48:18 UTC 2025","failed","Sun Apr 13 17:48:18 UTC 2025","","2. Приемка товаров","",""
"","157","2.2 Начало обработки накладной","WMS Тестирование","Sun Apr 13 17:48:18 UTC 2025","failed","Sun Apr 13 17:48:18 UTC 2025","","2. Приемка товаров","",""
"","156","4.1 Проверка статуса тележки","WMS Тестирование","Sun Apr 13 17:48:19 UTC 2025","failed","Sun Apr 13 17:48:20 UTC 2025","","4. Проверки","",""
"","177","2.4 Подсчет товара 1","WMS Тестирование","Sun Apr 13 17:48:18 UTC 2025","failed","Sun Apr 13 17:48:18 UTC 2025","","2. Приемка товаров","",""
"","167","1.3 Создание тележки для размещения","WMS Тестирование","Sun Apr 13 17:48:17 UTC 2025","passed","Sun Apr 13 17:48:18 UTC 2025","","1. Подготовка","",""
"","165","1.2 Создание ячейки 2","WMS Тестирование","Sun Apr 13 17:48:17 UTC 2025","failed","Sun Apr 13 17:48:17 UTC 2025","","1. Подготовка","",""
"","160","3.4 Проверка инвентаря","WMS Тестирование","Sun Apr 13 17:48:19 UTC 2025","passed","Sun Apr 13 17:48:19 UTC 2025","","3. Размещение товаров","",""
"","156","3.3 Размещение товара 2","WMS Тестирование","Sun Apr 13 17:48:19 UTC 2025","failed","Sun Apr 13 17:48:19 UTC 2025","","3. Размещение товаров","",""
"","158","3.2 Размещение товара 1 (остаток)","WMS Тестирование","Sun Apr 13 17:48:19 UTC 2025","failed","Sun Apr 13 17:48:19 UTC 2025","","3. Размещение товаров","",""
"","158","3.1 Размещение товара 1 (частично)","WMS Тестирование","Sun Apr 13 17:48:19 UTC 2025","failed","Sun Apr 13 17:48:19 UTC 2025","","3. Размещение товаров","",""
"","159","4.2 Проверка статуса ячейки","WMS Тестирование","Sun Apr 13 17:48:20 UTC 2025","failed","Sun Apr 13 17:48:20 UTC 2025","","4. Проверки","",""
"","162","2.6 Подсчет товара 2","WMS Тестирование","Sun Apr 13 17:48:18 UTC 2025","failed","Sun Apr 13 17:48:19 UTC 2025","","2. Приемка товаров","",""
"","173","2.1 Создание накладной","WMS Тестирование","Sun Apr 13 17:48:18 UTC 2025","failed","Sun Apr 13 17:48:18 UTC 2025","","2. Приемка товаров","",""
"","1130","1.1 Создание ячейки 1","WMS Тестирование","Sun Apr 13 17:48:16 UTC 2025","failed","Sun Apr 13 17:48:17 UTC 2025","","1. Подготовка","",""
